Date,Open,High,Low,Close,Adj Close,Volume
12/31/2003,2010.640015,2015.22998,1996.619995,2003.369995,2003.369995,1775710000
1/2/2004,2011.079956,2022.369995,1999.77002,2006.680054,2006.680054,1666780000
1/5/2004,2020.780029,2047.359985,2020.780029,2047.359985,2047.359985,2362910000
1/6/2004,2044.550049,2061.540039,2039.630005,2057.370117,2057.370117,2273220000
1/7/2004,2056.75,2078.090088,2047.02002,2077.679932,2077.679932,2294280000
1/8/2004,2089.600098,2100.25,2078.050049,2100.25,2100.25,2683950000
1/9/2004,2083.639893,2113.330078,2077.090088,2086.919922,2086.919922,2482760000
1/12/2004,2093.540039,2112.52002,2085.149902,2111.780029,2111.780029,2284010000
1/13/2004,2113.110107,2114.909912,2080.290039,2096.439941,2096.439941,2385700000
1/14/2004,2104.290039,2111.72998,2094.320068,2111.129883,2111.129883,2099970000
1/15/2004,2101.860107,2121.610107,2088.100098,2109.080078,2109.080078,2235590000
1/16/2004,2126.120117,2140.469971,2119.350098,2140.459961,2140.459961,2614390000
1/20/2004,2149.030029,2149.850098,2130.199951,2147.97998,2147.97998,2574190000
1/21/2004,2139.330078,2150.110107,2120.199951,2142.449951,2142.449951,2421860000
1/22/2004,2146.320068,2152.120117,2119.01001,2119.01001,2119.01001,2353370000
1/23/2004,2124.76001,2138.409912,2108.449951,2123.870117,2123.870117,2253910000
1/26/2004,2120.560059,2153.830078,2115.340088,2153.830078,2153.830078,1946050000
1/27/2004,2148.050049,2152.75,2116.040039,2116.040039,2116.040039,2151260000
1/28/2004,2125.02002,2128,2073.149902,2077.370117,2077.370117,2319550000
1/29/2004,2085.540039,2087.330078,2041.069946,2068.22998,2068.22998,2637760000
1/30/2004,2068.360107,2078.879883,2058.540039,2066.149902,2066.149902,1931180000
2/2/2004,2072.129883,2085.48999,2053.790039,2063.149902,2063.149902,1915680000
2/3/2004,2061.280029,2071.439941,2057.330078,2066.209961,2066.209961,1844840000
2/4/2004,2042.829956,2044.680054,2013.920044,2014.140015,2014.140015,2267580000
2/5/2004,2024.47998,2031.390015,2012.790039,2019.560059,2019.560059,1956030000
2/6/2004,2025.959961,2064.01001,2025.910034,2064.01001,2064.01001,1855510000
2/9/2004,2069.290039,2074.27002,2060.439941,2060.570068,2060.570068,1745350000
2/10/2004,2061.100098,2075.330078,2060.439941,2075.330078,2075.330078,1656760000
2/11/2004,2072.899902,2089.659912,2064.77002,2089.659912,2089.659912,2185700000
2/12/2004,2084.02002,2091.219971,2072.060059,2073.610107,2073.610107,1937690000
2/13/2004,2080.169922,2085.709961,2049.76001,2053.560059,2053.560059,1818020000
2/17/2004,2068.419922,2084.719971,2068.01001,2080.350098,2080.350098,1618060000
2/18/2004,2084.22998,2088.51001,2072.189941,2076.469971,2076.469971,1781240000
2/19/2004,2091.709961,2094.919922,2045.959961,2045.959961,2045.959961,2065540000
2/20/2004,2052.129883,2052.360107,2022.790039,2037.930054,2037.930054,1914330000
2/23/2004,2044.410034,2045.099976,1999.589966,2007.52002,2007.52002,1953330000
2/24/2004,2000.75,2018.069946,1991.050049,2005.439941,2005.439941,2069420000
2/25/2004,2010.589966,2024.199951,2007.72998,2022.97998,2022.97998,1707140000
2/26/2004,2018.910034,2037.170044,2012.829956,2032.569946,2032.569946,1752840000
2/27/2004,2036.670044,2044.77002,2018.829956,2029.819946,2029.819946,1871780000
3/1/2004,2036.920044,2057.800049,2032.640015,2057.800049,2057.800049,1697920000
3/2/2004,2056.379883,2064.399902,2039.650024,2039.650024,2039.650024,1871950000
3/3/2004,2037.109985,2039.310059,2020.290039,2033.359985,2033.359985,1814850000
3/4/2004,2034.72998,2055.120117,2031.839966,2055.110107,2055.110107,1799070000
3/5/2004,2037.329956,2069.02002,2034.180054,2047.630005,2047.630005,2045230000
3/8/2004,2052.070068,2058.25,2008.780029,2008.780029,2008.780029,2044260000
3/9/2004,2008.75,2011.829956,1987.290039,1995.160034,1995.160034,2105450000
3/10/2004,1997.109985,2007.25,1963.130005,1964.150024,1964.150024,2159820000
3/11/2004,1953.589966,1982.579956,1943.890015,1943.890015,1943.890015,2191370000
3/12/2004,1961,1984.72998,1959.48999,1984.72998,1984.72998,1707130000
3/15/2004,1977.780029,1977.780029,1939.199951,1939.199951,1939.199951,1723290000
3/16/2004,1952.780029,1961.98999,1927.689941,1943.089966,1943.089966,1963640000
3/17/2004,1956.52002,1980.310059,1956.52002,1976.76001,1976.76001,1678770000
3/18/2004,1971.26001,1972.310059,1947.560059,1962.439941,1962.439941,1677760000
3/19/2004,1964.969971,1970.150024,1940.469971,1940.469971,1940.469971,1645680000
3/22/2004,1929.02002,1929.280029,1897.630005,1909.900024,1909.900024,1982240000
3/23/2004,1923.22998,1928.609985,1898.939941,1901.800049,1901.800049,1835180000
3/24/2004,1908.040039,1922.51001,1896.910034,1909.47998,1909.47998,1839440000
3/25/2004,1923.219971,1967.170044,1923.219971,1967.170044,1967.170044,1968620000
3/26/2004,1963.52002,1976.76001,1960.02002,1960.02002,1960.02002,1579820000
3/29/2004,1975.430054,1996.22998,1975.430054,1992.569946,1992.569946,1706000000
3/30/2004,1985.670044,2000.680054,1981.439941,2000.630005,2000.630005,1598550000
3/31/2004,2001.089966,2004,1985.040039,1994.219971,1994.219971,1861460000
4/1/2004,1996.449951,2019.089966,1996.449951,2015.01001,2015.01001,1833430000
4/2/2004,2046.050049,2057.169922,2037.189941,2057.169922,2057.169922,2183740000
4/5/2004,2055.98999,2079.120117,2054.340088,2079.120117,2079.120117,1736300000
4/6/2004,2064.129883,2068.27002,2053.320068,2059.899902,2059.899902,1811100000
4/7/2004,2055.610107,2060.439941,2038.73999,2050.23999,2050.23999,1774960000
4/8/2004,2074.580078,2075.330078,2046.099976,2052.879883,2052.879883,1694140000
4/12/2004,2057.639893,2069.449951,2057.639893,2065.47998,2065.47998,1501360000
4/13/2004,2072.949951,2073.419922,2026.199951,2030.079956,2030.079956,1953240000
4/14/2004,2018.359985,2040.150024,2013.97998,2024.849976,2024.849976,1832200000
4/15/2004,2026.52002,2031.839966,1989.209961,2002.170044,2002.170044,1956010000
4/16/2004,2002.430054,2007.170044,1982.140015,1995.73999,1995.73999,1870420000
4/19/2004,1995.369995,2020.449951,1991.140015,2020.430054,2020.430054,1672830000
4/20/2004,2022.619995,2032.410034,1978.630005,1978.630005,1978.630005,1921740000
4/21/2004,1987.219971,1995.910034,1973.25,1995.630005,1995.630005,2053970000
4/22/2004,1992.650024,2035.390015,1991.469971,2032.910034,2032.910034,2147870000
4/23/2004,2045.920044,2051.75,2034.47998,2049.77002,2049.77002,1927300000
4/26/2004,2052.25,2059.080078,2031.75,2036.77002,2036.77002,1727680000
4/27/2004,2040.530029,2053.570068,2027.640015,2032.530029,2032.530029,1971610000
4/28/2004,2026.439941,2026.439941,1985.540039,1989.540039,1989.540039,2037420000
4/29/2004,1987.47998,1998.5,1946.099976,1958.780029,1958.780029,2371070000
4/30/2004,1962.48999,1965.890015,1919.390015,1920.150024,1920.150024,2174730000
5/3/2004,1928.719971,1954.619995,1926.089966,1938.719971,1938.719971,1932490000
5/4/2004,1942.369995,1969.969971,1933.599976,1950.47998,1950.47998,1857530000
5/5/2004,1954.98999,1967.329956,1948.51001,1957.26001,1957.26001,1586660000
5/6/2004,1945.869995,1949.550049,1923.300049,1937.73999,1937.73999,1750770000
5/7/2004,1931.859985,1957.23999,1917.959961,1917.959961,1917.959961,1637090000
5/10/2004,1904.72998,1907.97998,1880.319946,1896.069946,1896.069946,1895630000
5/11/2004,1909.5,1931.47998,1909.5,1931.349976,1931.349976,1645220000
5/12/2004,1924.319946,1927.22998,1878.77002,1925.589966,1925.589966,1887780000
5/13/2004,1918.630005,1937.869995,1914.099976,1926.030029,1926.030029,1558620000
5/14/2004,1922.469971,1927.25,1897.569946,1904.25,1904.25,1526360000
5/17/2004,1881.060059,1887.73999,1865.400024,1876.640015,1876.640015,1528890000
5/18/2004,1892.290039,1903.390015,1890.949951,1897.819946,1897.819946,1435100000
5/19/2004,1917.579956,1936.040039,1898.160034,1898.170044,1898.170044,1834960000
5/20/2004,1902.780029,1912.02002,1890.180054,1896.589966,1896.589966,1540900000
5/21/2004,1910.040039,1918.079956,1899.849976,1912.089966,1912.089966,1376620000
5/24/2004,1924.869995,1934.410034,1915.560059,1922.97998,1922.97998,1422080000
5/25/2004,1920.939941,1966.680054,1913.72998,1964.650024,1964.650024,1770600000
5/26/2004,1961.160034,1976.160034,1957.579956,1976.150024,1976.150024,1591030000
5/27/2004,1982.77002,1991.869995,1969.040039,1984.5,1984.5,1641260000
5/28/2004,1985.540039,1990.810059,1976.699951,1986.73999,1986.73999,1233190000
6/1/2004,1978.52002,1991.290039,1972.709961,1990.77002,1990.77002,1459030000
6/2/2004,1995.180054,1998.319946,1978.709961,1988.97998,1988.97998,1520120000
6/3/2004,1983.859985,1983.859985,1960.26001,1960.26001,1960.26001,1526670000
6/4/2004,1982.650024,1995.5,1978.040039,1978.619995,1978.619995,1417600000
6/7/2004,1991.670044,2020.619995,1991.420044,2020.619995,2020.619995,1485300000
6/8/2004,2010.719971,2023.540039,2008.300049,2023.530029,2023.530029,1464790000
6/9/2004,2015.040039,2019.219971,1989.98999,1990.609985,1990.609985,1520200000
6/10/2004,1996.800049,2000.98999,1988.890015,1999.869995,1999.869995,1345640000
6/14/2004,1987.75,1987.829956,1963.47998,1969.98999,1969.98999,1402630000
6/15/2004,1982.410034,2006.579956,1982.410034,1995.599976,1995.599976,1527280000
6/16/2004,1997.099976,2002.069946,1990.569946,1998.22998,1998.22998,1353130000
6/17/2004,1993.689941,1993.930054,1976.25,1983.670044,1983.670044,1449920000
